,authorid,author,date,content,spam,word_count,char_count,avg_word
40,655867288913969162,bananaabread,08/28/2021 11:55 PM,No not yet,0,3,10,2.6666666666666665
42,655867288913969162,bananaabread,08/28/2021 11:55 PM,"I don’t know what time, whenever your free",0,8,42,4.375
43,655867288913969162,bananaabread,08/28/2021 11:56 PM,DECIDE A TIME BRENA 🤬🤬🤬🤬,0,5,24,4.0
46,655867288913969162,bananaabread,08/28/2021 11:56 PM,Okayyy,0,1,6,6.0
48,655867288913969162,bananaabread,08/28/2021 11:56 PM,We’re gonna call on discord right,0,6,33,4.666666666666667
50,655867288913969162,bananaabread,08/28/2021 11:56 PM,MK,0,1,2,2.0
52,655867288913969162,bananaabread,08/28/2021 11:57 PM,GOODNIGHT!!,0,1,11,11.0
53,655867288913969162,bananaabread,08/29/2021 6:00 PM,IT IS 6 PM BRENA,0,5,16,2.4
55,655867288913969162,bananaabread,08/29/2021 6:01 PM,ok I’ll be waiting,0,4,18,3.75
63,655867288913969162,bananaabread,09/06/2021 7:10 PM,OK IM READY,0,3,11,3.0
64,655867288913969162,bananaabread,09/06/2021 7:11 PM,WIAT,0,1,4,4.0
66,655867288913969162,bananaabread,09/06/2021 7:11 PM,ok ready,0,2,8,3.5
68,655867288913969162,bananaabread,09/06/2021 7:28 PM,A,0,1,1,1.0
69,655867288913969162,bananaabread,09/06/2021 7:28 PM,B,0,1,1,1.0
70,655867288913969162,bananaabread,09/06/2021 7:28 PM,C,0,1,1,1.0
71,655867288913969162,bananaabread,09/06/2021 7:29 PM,D,0,1,1,1.0
72,655867288913969162,bananaabread,09/06/2021 7:29 PM,E,0,1,1,1.0
73,655867288913969162,bananaabread,09/06/2021 7:29 PM,F,0,1,1,1.0
74,655867288913969162,bananaabread,09/06/2021 7:29 PM,G,0,1,1,1.0
75,655867288913969162,bananaabread,09/06/2021 7:29 PM,H,0,1,1,1.0
76,655867288913969162,bananaabread,09/06/2021 7:29 PM,I,0,1,1,1.0
77,655867288913969162,bananaabread,09/06/2021 7:29 PM,J,0,1,1,1.0
78,655867288913969162,bananaabread,09/06/2021 7:29 PM,K,0,1,1,1.0
79,655867288913969162,bananaabread,09/06/2021 7:29 PM,L,0,1,1,1.0
80,655867288913969162,bananaabread,09/06/2021 7:29 PM,M,0,1,1,1.0
81,655867288913969162,bananaabread,09/06/2021 7:29 PM,N,0,1,1,1.0
82,655867288913969162,bananaabread,09/06/2021 7:29 PM,O,0,1,1,1.0
83,655867288913969162,bananaabread,09/06/2021 7:29 PM,P,0,1,1,1.0
84,655867288913969162,bananaabread,09/06/2021 7:29 PM,Q,0,1,1,1.0
85,655867288913969162,bananaabread,09/06/2021 7:29 PM,R,0,1,1,1.0
86,655867288913969162,bananaabread,09/06/2021 7:29 PM,S,0,1,1,1.0
87,655867288913969162,bananaabread,09/06/2021 7:29 PM,T,0,1,1,1.0
88,655867288913969162,bananaabread,09/06/2021 7:29 PM,U,0,1,1,1.0
89,655867288913969162,bananaabread,09/06/2021 7:29 PM,V,0,1,1,1.0
90,655867288913969162,bananaabread,09/06/2021 7:29 PM,W,0,1,1,1.0
91,655867288913969162,bananaabread,09/06/2021 7:29 PM,X,0,1,1,1.0
92,655867288913969162,bananaabread,09/06/2021 7:30 PM,Y,0,1,1,1.0
93,655867288913969162,bananaabread,09/06/2021 7:30 PM,Z,0,1,1,1.0
95,655867288913969162,bananaabread,09/06/2021 7:36 PM,_ 𝔉𝔞𝔯𝔱_,0,2,7,3.0
100,655867288913969162,bananaabread,09/06/2021 8:39 PM,EXPOSED…,0,1,8,8.0
101,655867288913969162,bananaabread,09/06/2021 8:40 PM,YES RYUJI,0,2,9,4.0
102,655867288913969162,bananaabread,09/06/2021 8:40 PM,EXPOSE HIMMMM,0,2,13,6.0
103,655867288913969162,bananaabread,09/06/2021 8:54 PM,EXPOSEDDDAH,0,1,11,11.0
104,655867288913969162,bananaabread,09/11/2021 10:52 PM,Yo status say do not disturb well imma disturb you,0,10,50,4.1
105,655867288913969162,bananaabread,09/11/2021 10:52 PM,HEY,0,1,3,3.0
106,655867288913969162,bananaabread,09/11/2021 10:52 PM,BREANNAAAAA,0,1,11,11.0
107,655867288913969162,bananaabread,09/11/2021 10:53 PM,Answer me or your racist,0,5,24,4.0
110,655867288913969162,bananaabread,09/12/2021 10:24 PM,hello,0,1,5,5.0
111,655867288913969162,bananaabread,09/12/2021 10:24 PM,Brena,0,1,5,5.0
112,655867288913969162,bananaabread,09/12/2021 10:24 PM,GUESS WHAT HAPPEND IN SCHOOL,0,5,28,4.8
114,655867288913969162,bananaabread,09/12/2021 10:24 PM,Ok so y know how people use the same computers in school,0,12,56,3.75
116,655867288913969162,bananaabread,09/12/2021 10:25 PM,So someone forgot to log out of their chromebook,0,9,48,4.444444444444445
117,655867288913969162,bananaabread,09/12/2021 10:25 PM,"And another person used it, went onto the account that wasn’t logged out",0,13,72,4.615384615384615
118,655867288913969162,bananaabread,09/12/2021 10:25 PM,And said in a Google classroom,0,6,30,4.166666666666667
119,655867288913969162,bananaabread,09/12/2021 10:25 PM,IMMA CUSS OKAY,0,3,14,4.0
120,655867288913969162,bananaabread,09/12/2021 10:26 PM,DONT TELL NOBODY,0,3,16,4.666666666666667
122,655867288913969162,bananaabread,09/12/2021 10:26 PM,they said fuck all you botched in this class,0,9,44,4.0
123,655867288913969162,bananaabread,09/12/2021 10:26 PM,BITCHES,0,1,7,7.0
125,655867288913969162,bananaabread,09/12/2021 10:26 PM,YES,0,1,3,3.0
126,655867288913969162,bananaabread,09/12/2021 10:26 PM,AND IT WASNT ON THEIR ACCOUNT,0,6,29,4.0
128,655867288913969162,bananaabread,09/12/2021 10:26 PM,YES,0,1,3,3.0
131,655867288913969162,bananaabread,09/12/2021 10:27 PM,YES ITS CRAZY,0,3,13,3.6666666666666665
133,655867288913969162,bananaabread,09/12/2021 10:27 PM,My friend told me,0,4,17,3.5
135,655867288913969162,bananaabread,09/12/2021 10:28 PM,YES AND THEN THE TEACHERS STARTED SAYING “Make sure you log out when your done using the computers”,0,18,99,4.555555555555555
138,655867288913969162,bananaabread,09/12/2021 10:28 PM,ITS KINDA FUNNY THO,0,4,19,4.0
140,655867288913969162,bananaabread,09/12/2021 10:28 PM,Samee,0,1,5,5.0
143,655867288913969162,bananaabread,09/12/2021 10:29 PM,OKAY I HAVE TO GO TO BED IM GONNA GET IN TROUBLE BECAUSE TOMORROWS MONDAY,0,15,73,3.933333333333333
145,655867288913969162,bananaabread,09/12/2021 10:29 PM,GOODNIGHT,0,1,9,9.0
147,655867288913969162,bananaabread,09/12/2021 10:29 PM,ILYT,0,1,4,4.0
149,655867288913969162,bananaabread,09/17/2021 6:18 PM,Do you wanna watch persona 😫😫😫,0,6,30,4.166666666666667
151,655867288913969162,bananaabread,09/17/2021 6:19 PM,Okay text me when you ready,0,6,27,3.6666666666666665
153,655867288913969162,bananaabread,09/17/2021 8:14 PM,WHY SO LATE,0,3,11,3.0
155,655867288913969162,bananaabread,09/17/2021 8:14 PM,What were you guys talking about 😮😮😮,0,7,36,4.285714285714286
157,655867288913969162,bananaabread,09/17/2021 8:15 PM,Ooohhhh ok,0,2,10,4.5
158,655867288913969162,bananaabread,09/17/2021 8:15 PM,Do you still wanna watch persona 5,0,7,34,4.0
160,655867288913969162,bananaabread,09/17/2021 8:16 PM,OF COURSE I STILL WANNA WATCH DUH,0,7,33,3.857142857142857
164,655867288913969162,bananaabread,09/17/2021 8:17 PM,Ye that’s okay,0,3,14,4.0
176,655867288913969162,bananaabread,09/24/2021 8:02 PM,BREANNA,0,1,7,7.0
177,655867288913969162,bananaabread,09/24/2021 8:03 PM,ANSWERRR,0,1,8,8.0
179,655867288913969162,bananaabread,09/24/2021 8:06 PM,Omg you responded,0,3,17,5.0
180,655867288913969162,bananaabread,09/24/2021 8:06 PM,THE 8th GRADERS AT ROOSEVELT BE THROWING HANDS,0,8,46,4.875
181,655867288913969162,bananaabread,09/24/2021 8:07 PM,LOOK,0,1,4,4.0
185,655867288913969162,bananaabread,09/24/2021 8:08 PM,IKR,0,1,3,3.0
188,655867288913969162,bananaabread,09/24/2021 8:08 PM,DO YOU KNOW WHAT A DEVIOUS LICK IS,0,8,34,3.375
190,655867288913969162,bananaabread,09/24/2021 8:09 PM,ITS WHEN PEOPLE STEAL FROM SCHOOL,0,6,33,4.666666666666667
191,655867288913969162,bananaabread,09/24/2021 8:09 PM,SOMEONE DID IT AND GOT CAUGHT,0,6,29,4.0
193,655867288913969162,bananaabread,09/24/2021 8:09 PM,SOAP FROM THE BOYS BATHROOM,0,5,27,4.6
197,655867288913969162,bananaabread,09/24/2021 8:10 PM,LOLLL,0,1,5,5.0
200,655867288913969162,bananaabread,09/24/2021 8:10 PM,YES,0,1,3,3.0
203,655867288913969162,bananaabread,09/24/2021 8:11 PM,LOOK WHAT MY SCIENCE TEACHER GAVE YS,0,7,36,4.285714285714286
204,655867288913969162,bananaabread,09/24/2021 8:11 PM,US,0,1,2,2.0
207,655867288913969162,bananaabread,09/24/2021 8:11 PM,How do you not know what that is 🙄🙄🙄,0,9,36,3.111111111111111
208,655867288913969162,bananaabread,09/24/2021 8:11 PM,Uncultured 🙄🙄😒😒,0,2,15,7.0
211,655867288913969162,bananaabread,09/24/2021 8:12 PM,ITS A POP IT,0,4,12,2.25
213,655867288913969162,bananaabread,09/24/2021 8:13 PM,PH MY GOD DISCORD WONT LET ME SEND VIDEOS,0,9,41,3.6666666666666665
214,655867288913969162,bananaabread,09/24/2021 8:14 PM,IMMA MESSAGE YOU WHAT IT IS,0,6,27,3.6666666666666665
220,655867288913969162,bananaabread,09/24/2021 8:16 PM,Yeah it’s pretty cool or whateva,0,6,32,4.5
222,655867288913969162,bananaabread,09/24/2021 8:17 PM,"YES, ALSO WHEN CAN WE WATH MORE PERSONA 5",0,9,41,3.6666666666666665
224,655867288913969162,bananaabread,09/24/2021 8:18 PM,WHAT TIME,0,2,9,4.0
226,655867288913969162,bananaabread,09/24/2021 8:18 PM,OK,0,1,2,2.0
227,655867288913969162,bananaabread,09/24/2021 8:19 PM,I’ll be ready brena 😈😈😈,0,5,23,3.8
229,655867288913969162,bananaabread,09/24/2021 8:19 PM,LMAOO,0,1,5,5.0
230,655867288913969162,bananaabread,09/24/2021 8:19 PM,Ok banana,0,2,9,4.0
232,655867288913969162,bananaabread,09/26/2021 6:28 PM,6:30 is approaching brena,0,4,25,5.5
235,655867288913969162,bananaabread,09/26/2021 6:30 PM,Ok,0,1,2,2.0
237,655867288913969162,bananaabread,09/26/2021 6:44 PM,So,0,1,2,2.0
238,655867288913969162,bananaabread,09/26/2021 6:44 PM,SI,0,1,2,2.0
241,655867288913969162,bananaabread,10/02/2021 9:11 PM,BREANNA I GOT A C ON MY MATH QUIZ,0,9,33,2.7777777777777777
245,655867288913969162,bananaabread,10/02/2021 9:13 PM,Ok but I’m scaredddd 😭😭,0,5,23,3.8
247,655867288913969162,bananaabread,10/02/2021 9:13 PM,IT WAS,0,2,6,2.5
249,655867288913969162,bananaabread,10/02/2021 9:13 PM,BECAUSE DADS GONNA FIND OUT,0,5,27,4.6
251,655867288913969162,bananaabread,10/02/2021 9:15 PM,Aww ok,0,2,6,2.5
256,655867288913969162,bananaabread,10/02/2021 9:15 PM,OK I WILL,0,3,9,2.3333333333333335
258,655867288913969162,bananaabread,10/02/2021 9:15 PM,Noo it’s ok,0,3,11,3.0
260,655867288913969162,bananaabread,10/02/2021 9:16 PM,BECAUSE HER CASE FOR HER INSTRUMENT LOOKS LIKE A SUITCASE,0,10,57,4.8
262,655867288913969162,bananaabread,10/02/2021 9:19 PM,AWWW THANK YOU,0,3,14,4.0
263,655867288913969162,bananaabread,10/02/2021 9:19 PM,ILY,0,1,3,3.0
264,655867288913969162,bananaabread,10/02/2021 9:19 PM,💗💗💗,0,1,3,3.0
266,655867288913969162,bananaabread,10/03/2021 12:53 AM,NOT DANIELLE GETTING A F TOO,0,6,28,3.8333333333333335
267,655867288913969162,bananaabread,10/03/2021 12:53 AM,I HOPE SHE LETS US RETAKE IT BECAUSE WE ALL DID BAD,0,12,51,3.3333333333333335
269,655867288913969162,bananaabread,10/03/2021 12:54 AM,YESH,0,1,4,4.0
271,655867288913969162,bananaabread,10/03/2021 12:55 AM,SHES OK BUT EVERYTHING SHE SAYS GOES IN ONE EAR OUT THE OTHER,0,13,61,3.769230769230769
273,655867288913969162,bananaabread,10/03/2021 12:56 AM,YEAHH BUT THEN AGAIN SHE LETS US PLAY KAHOOT SOOO,0,10,49,4.0
276,655867288913969162,bananaabread,10/03/2021 12:57 AM,Yea,0,1,3,3.0
278,655867288913969162,bananaabread,10/03/2021 12:57 AM,Thank you I believe that you can succeed in your classes too,0,12,60,4.083333333333333
280,655867288913969162,bananaabread,10/03/2021 12:58 AM,GOODNIGHTT,0,1,10,10.0
281,655867288913969162,bananaabread,10/09/2021 2:05 AM,What would you do if when you ok so he said yes would go,0,14,56,3.0714285714285716
283,655867288913969162,bananaabread,10/10/2021 7:24 PM,"Dear sister, what art thee losing thy mind about",0,9,48,4.444444444444445
284,655867288913969162,bananaabread,10/10/2021 7:29 PM,Answer mine discord message distemperate blinking idiot,0,7,55,7.0
286,655867288913969162,bananaabread,10/10/2021 7:30 PM,Thee Maury crusty and dusty be it,0,7,33,3.857142857142857
287,655867288913969162,bananaabread,10/10/2021 7:30 PM,I MEANT TO TYPE MUSTY,0,5,21,3.4
290,655867288913969162,bananaabread,10/10/2021 7:31 PM,Don’t you already have a job,0,6,28,3.8333333333333335
293,655867288913969162,bananaabread,10/10/2021 7:32 PM,Idk,0,1,3,3.0
295,655867288913969162,bananaabread,10/10/2021 7:33 PM,"Don’t be stresseth sister, when thee receiveth home thee can play smasheth bros and not hast to worry about jobs",0,20,112,4.65
299,655867288913969162,bananaabread,10/10/2021 7:33 PM,Grindeth,0,1,8,8.0
301,655867288913969162,bananaabread,10/10/2021 7:34 PM,I loveth thee too,0,4,17,3.5
303,655867288913969162,bananaabread,10/10/2021 7:34 PM,💗💗💗,0,1,3,3.0
304,655867288913969162,bananaabread,10/11/2021 3:01 PM,THERE WAS A FIGHT ON MY FRIENDS BUS AND THE PERSON RECORDING ACTUALLY DID GOOD,0,15,78,4.266666666666667
305,655867288913969162,bananaabread,10/11/2021 3:02 PM,OH MY GOD THE WAY THE BYS DRIVER HAD TO SEPARATE THEM,0,12,53,3.5
308,655867288913969162,bananaabread,10/11/2021 3:02 PM,LMAOOO,0,1,6,6.0
310,655867288913969162,bananaabread,10/11/2021 3:02 PM,THIS WAS LIKE FRIDAY BUT I JUST GOT THE VIDEO,0,10,45,3.6
313,655867288913969162,bananaabread,10/11/2021 3:03 PM,SAME,0,1,4,4.0
316,655867288913969162,bananaabread,10/11/2021 3:03 PM,YW,0,1,2,2.0
317,655867288913969162,bananaabread,10/15/2021 10:57 AM,Hello,0,1,5,5.0
319,655867288913969162,bananaabread,10/21/2021 6:38 PM,Can we watch persona 5 this weekend pls pls pls,0,10,47,3.8
320,655867288913969162,bananaabread,10/21/2021 6:47 PM,WHY DO YOU TAKE SO LONG TO RESPOND GIRLIE,0,9,41,3.6666666666666665
322,655867288913969162,bananaabread,10/21/2021 8:10 PM,YAYYYYY,0,1,7,7.0
324,655867288913969162,bananaabread,10/23/2021 6:01 PM,YES,0,1,3,3.0
325,655867288913969162,bananaabread,10/23/2021 6:01 PM,WAIT WHAT TIME,0,3,14,4.0
327,655867288913969162,bananaabread,10/23/2021 6:02 PM,I’m always free 😫,0,4,17,3.5
329,655867288913969162,bananaabread,10/23/2021 6:02 PM,Nope,0,1,4,4.0
332,655867288913969162,bananaabread,10/23/2021 6:03 PM,OKK,0,1,3,3.0
333,655867288913969162,bananaabread,10/24/2021 7:29 PM,IT IS,0,2,5,2.0
334,655867288913969162,bananaabread,10/24/2021 7:29 PM,7:29,0,1,4,4.0
335,655867288913969162,bananaabread,10/24/2021 7:30 PM,Where are you brenaaaaa,0,4,23,5.0
336,655867288913969162,bananaabread,10/24/2021 7:32 PM,Where art thou,0,3,14,4.0
337,655867288913969162,bananaabread,10/24/2021 7:32 PM,BRENA,0,1,5,5.0
340,655867288913969162,bananaabread,10/24/2021 7:33 PM,Moms also on the phone with Kenisha and yk how load she talks on the phone soooo,0,17,80,3.764705882352941
343,655867288913969162,bananaabread,10/24/2021 7:37 PM,TURN YOUR CAPTIONS OFF GOOFY,0,5,28,4.8
345,655867288913969162,bananaabread,10/24/2021 7:39 PM,You’re*,0,1,7,7.0
346,655867288913969162,bananaabread,10/24/2021 7:39 PM,Talk to me when you can type correctly 🙄,0,9,40,3.5555555555555554
348,655867288913969162,bananaabread,10/24/2021 7:42 PM,IF YOUR TALKING TO ME YOU GOTTA SPEAK UP,0,9,40,3.5555555555555554
351,655867288913969162,bananaabread,10/24/2021 7:43 PM,YES BUT ITS VERY QUIET,0,5,22,3.6
352,655867288913969162,bananaabread,10/24/2021 7:43 PM,TURN YOUR MICROPHONE VOLUME UP,0,5,30,5.2
356,655867288913969162,bananaabread,10/24/2021 7:44 PM,Then get new headphones 🙄,0,5,25,4.2
357,655867288913969162,bananaabread,10/24/2021 7:44 PM,I CANT HERE YOU,0,4,15,3.0
361,655867288913969162,bananaabread,10/24/2021 7:55 PM,This was Joker leaving the rest of the group to talk to that Pinocchio nose guy,0,16,79,4.0
362,655867288913969162,bananaabread,10/24/2021 8:03 PM,💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯,0,1,40,40.0
363,655867288913969162,bananaabread,10/24/2021 8:04 PM,Lettuce fight,0,2,13,6.0
364,655867288913969162,bananaabread,10/24/2021 8:10 PM,PAUSE,0,1,5,5.0
365,655867288913969162,bananaabread,10/24/2021 8:10 PM,THE,0,1,3,3.0
366,655867288913969162,bananaabread,10/24/2021 8:10 PM,VID,0,1,3,3.0
367,655867288913969162,bananaabread,10/24/2021 8:10 PM,I HAVE SOMETHING VERY IMPORTANT TO ASK YOU,0,8,42,4.375
368,655867288913969162,bananaabread,10/24/2021 8:19 PM,Guess if Im on computer or phone rn,0,8,35,3.5
370,655867288913969162,bananaabread,10/24/2021 8:19 PM,WRONG.,0,1,6,6.0
372,655867288913969162,bananaabread,10/24/2021 8:19 PM,yesss,0,1,5,5.0
374,655867288913969162,bananaabread,10/24/2021 8:20 PM,I CAN SWITCH FROM COMPUTER TO PHONE WHENEVER,0,8,44,4.625
377,655867288913969162,bananaabread,10/24/2021 8:20 PM,You will never know what the truth is,0,8,37,3.75
380,655867288913969162,bananaabread,10/24/2021 8:20 PM,amogus,0,1,6,6.0
382,655867288913969162,bananaabread,10/24/2021 8:26 PM,HIIII,0,1,5,5.0
384,655867288913969162,bananaabread,10/24/2021 8:27 PM,Byeee 🥭,0,2,7,3.0
386,655867288913969162,bananaabread,10/24/2021 8:27 PM,🍧I want to eat this emoji,0,6,25,3.3333333333333335
387,655867288913969162,bananaabread,10/24/2021 8:29 PM,WHERES KAMOSHIDA,0,2,16,7.5
388,655867288913969162,bananaabread,10/24/2021 8:29 PM,WHERE IS HE HIDING,0,4,18,3.75
392,655867288913969162,bananaabread,10/24/2021 8:29 PM,Which one idk,0,3,13,3.6666666666666665
394,655867288913969162,bananaabread,10/24/2021 8:30 PM,NO??,0,1,4,4.0
397,655867288913969162,bananaabread,10/24/2021 8:30 PM,I CAN MAKE NOELLE KILL PEOPLE,0,6,29,4.0
398,655867288913969162,bananaabread,10/24/2021 8:30 PM,WHAT,0,1,4,4.0
401,655867288913969162,bananaabread,10/24/2021 8:30 PM,Wait imma search that up on my 999k dollar computer,0,10,51,4.2
403,655867288913969162,bananaabread,10/24/2021 8:32 PM,Oh mi Lordy lord,0,4,16,3.25
404,655867288913969162,bananaabread,10/24/2021 8:32 PM,IM GONNA TRY TO GET THAT ROUTE,0,7,30,3.4285714285714284
406,655867288913969162,bananaabread,10/24/2021 8:32 PM,I can pass through it I’m pro,0,7,29,3.2857142857142856
408,655867288913969162,bananaabread,10/24/2021 8:33 PM,DO YOU WANT ME TO CALL YOU WHILE I TRY TO DI THE ROUTE,0,14,54,2.9285714285714284
409,655867288913969162,bananaabread,10/24/2021 8:33 PM,DO*,0,1,3,3.0
411,655867288913969162,bananaabread,10/24/2021 8:34 PM,OKOK WE CAN DO IT WHEN YOUR FREE,0,8,32,3.125
413,655867288913969162,bananaabread,10/24/2021 8:35 PM,Okurr,0,1,5,5.0
414,655867288913969162,bananaabread,10/24/2021 8:35 PM,OKURRR I WILL,0,3,13,3.6666666666666665
416,655867288913969162,bananaabread,10/24/2021 8:38 PM,SLAVES???,0,1,9,9.0
418,655867288913969162,bananaabread,10/24/2021 8:38 PM,racially motivated,0,2,18,8.5
422,655867288913969162,bananaabread,10/24/2021 8:38 PM,RIGHT,0,1,5,5.0
423,655867288913969162,bananaabread,10/24/2021 8:38 PM,DOWN WITH KAMOSHIDA,0,3,19,5.666666666666667
425,655867288913969162,bananaabread,10/24/2021 8:38 PM,DOWN WITH KAMOSHIDA,0,3,19,5.666666666666667
426,655867288913969162,bananaabread,10/24/2021 8:38 PM,DOWN WITH KAMOSHIDA,0,3,19,5.666666666666667
427,655867288913969162,bananaabread,10/24/2021 8:38 PM,DOWN WITH KAMOSHIDA,0,3,19,5.666666666666667
429,655867288913969162,bananaabread,10/24/2021 8:45 PM,Gasp,0,1,4,4.0
431,655867288913969162,bananaabread,10/24/2021 8:46 PM,OOP,0,1,3,3.0
432,655867288913969162,bananaabread,10/24/2021 8:46 PM,IS HE SUMMONING A DEMON,0,5,23,3.8
435,655867288913969162,bananaabread,10/24/2021 8:46 PM,they should take the candles and burn the whole room down,0,11,57,4.2727272727272725
437,655867288913969162,bananaabread,10/24/2021 8:47 PM,JUST RUN OUT OF THE ROOM,0,6,24,3.1666666666666665
438,655867288913969162,bananaabread,10/24/2021 8:47 PM,IF YOU GET CAUGHT ON FIRE DROP AND ROLL,0,9,39,3.4444444444444446
442,655867288913969162,bananaabread,11/03/2021 6:41 PM,Yes I am doing very well,0,6,24,3.1666666666666665
444,655867288913969162,bananaabread,11/06/2021 5:45 PM,would you drink yoshi fart milk,0,6,31,4.333333333333333
446,655867288913969162,bananaabread,11/07/2021 10:48 PM,SLAYED 😍😍😍,0,2,10,4.5
447,655867288913969162,bananaabread,11/07/2021 10:48 PM,I got arrested after this,0,5,25,4.2
449,655867288913969162,bananaabread,11/07/2021 10:53 PM,YES,0,1,3,3.0
452,655867288913969162,bananaabread,11/07/2021 10:54 PM,I AINT NEVER GOING TO THERAPY,0,6,29,4.0
455,655867288913969162,bananaabread,11/20/2021 9:45 PM,I love you tooo,0,4,15,3.0
457,655867288913969162,bananaabread,12/10/2021 3:41 PM,IT IS SO SO SO SO GOOD HUT ITS ALSO RLLY HARD,0,12,45,2.8333333333333335
458,655867288913969162,bananaabread,12/10/2021 3:41 PM,BUT*,0,1,4,4.0
459,655867288913969162,bananaabread,12/10/2021 3:41 PM,AND I KEEP DYING,0,4,16,3.25
461,655867288913969162,bananaabread,12/14/2021 6:36 PM,BREANNA.,0,1,8,8.0
463,655867288913969162,bananaabread,12/14/2021 6:37 PM,IIIII HAVE ACHIEVED VICTORY,0,4,27,6.0
465,655867288913969162,bananaabread,12/14/2021 6:37 PM,THANK YOU,0,2,9,4.0
468,655867288913969162,bananaabread,02/25/2022 8:14 AM,Breanaaaaaaa,0,1,12,12.0
469,655867288913969162,bananaabread,02/25/2022 8:14 AM,Im good,0,2,7,3.0
471,655867288913969162,bananaabread,04/19/2022 2:49 PM,Brena,0,1,5,5.0
474,655867288913969162,bananaabread,04/19/2022 2:51 PM,This is u,0,3,9,2.3333333333333335
475,655867288913969162,bananaabread,04/19/2022 2:52 PM,BRENA WATCH THE VIDEO,0,4,21,4.5
478,655867288913969162,bananaabread,04/19/2022 2:53 PM,NOTHING,0,1,7,7.0
479,655867288913969162,bananaabread,04/19/2022 2:53 PM,IT JSUT REMINDED ME OF U,0,6,24,3.1666666666666665
483,655867288913969162,bananaabread,04/19/2022 2:53 PM,Si,0,1,2,2.0
484,655867288913969162,bananaabread,04/19/2022 2:53 PM,I’m having fun,0,3,14,4.0
486,655867288913969162,bananaabread,04/19/2022 2:54 PM,I went climbing in dunns river falls,0,7,36,4.285714285714286
487,655867288913969162,bananaabread,04/19/2022 2:54 PM,And I ate food,0,4,14,2.75
488,655867288913969162,bananaabread,04/19/2022 2:54 PM,And I went to the beach,0,6,23,3.0
490,655867288913969162,bananaabread,04/19/2022 2:54 PM,Yeah,0,1,4,4.0
493,655867288913969162,bananaabread,04/19/2022 2:55 PM,I was staying in a resort but I’m leaving to go to auntie Jackie’s house today,0,16,78,3.9375
494,655867288913969162,bananaabread,04/19/2022 2:56 PM,With Cassidy,0,2,12,5.5
499,655867288913969162,bananaabread,04/19/2022 2:56 PM,Yeah,0,1,4,4.0
500,655867288913969162,bananaabread,04/19/2022 2:56 PM,ITS VERY LOUD,0,3,13,3.6666666666666665
503,655867288913969162,bananaabread,04/19/2022 2:56 PM,I CANT BRENA,0,3,12,3.3333333333333335
505,655867288913969162,bananaabread,04/19/2022 2:57 PM,we’re leaving because auntie Susie was here too and she’s leaving TODAY so mom doesn’t want to be alone,0,19,103,4.473684210526316
506,655867288913969162,bananaabread,04/19/2022 2:57 PM,SO SHES MAKING ME LEAVE,0,5,23,3.8
